Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
DORIS,1a, FALSE,Publications and reports acquired,"7,205","7,547","7,113","10,016","5,596",*,*,Neutral,Up
DCAS,7a, FALSE,Preventable collisions involving City vehicles citywide,NA,"2,925","2,873","2,815","3,095",*,*,NA,Down
DCLA,1a, TRUE,Average days to issue final CDF payments,4,5,4,4,4,5,5,Neutral,Down
DSNY,2a, TRUE,Trucks dumped on shift (%),47.20%,43.50%,44.60%,45.80%,43.70%,45.60%,45.60%,Neutral,Up
DOI,1a, FALSE,Integrity monitoring agreements,21,18,16,16,18,*,*,Down,*
NYCHH,1b, TRUE,MetroPlus membership,"429,931","468,020","472,251","501,134","503,044",↑,↑,Up,Up
TLC,1c, FALSE,Administrative summonses issued to drivers,NA,"7,958","13,492","10,478","9,595",*,*,NA,*
HRA,1c, TRUE,Application timeliness rate for Medicaid administered by HRA (%),98.30%,91.70%,96.50%,92.10%,95.60%,99.40%,99.40%,Neutral,Up
NYCHA,1b, TRUE,Average time to resolve heat service requests (hours),19.8,13.6,19,17.3,14.9,24,24,Down,Down
DEP,4b, FALSE,"Accounts receivable - Total balance ($000,000)","$1,561","$1,750","$1,640","$1,666","$1,633",*,*,Neutral,Down
DOE,1a, TRUE,– Grade 5,25.9,26,26,26.3,26.1,25.8,25.1,Neutral,Down
DYCD,4a, TRUE,Programmatic reviews/contract monitoring,"10,518","11,008","14,622","16,832","17,003",*,*,Up,*
DDC,1a, FALSE,– Construction completed on schedule (%),82%,86%,84%,89%,99%,82%,82%,Up,Up
SBS,2a, FALSE,New jobseekers registered through the Workforce1 Career Center system,"84,515","82,619","55,133","55,647","54,816",*,*,Down,*
DYCD,2b, TRUE,"Youth who are out-of-school, attend a DYCD-funded training or employment program, and are placed in post-secondary education, employment, or advanced training in the 1st quarter after exiting the program (%)",70%,68%,68%,68%,NA,69%,*,NA,Up
DoITT,1a, FALSE,Uptime of 800 MHz network (%),99.99%,100.00%,100.00%,100.00%,100.00%,99.99%,99.99%,Neutral,Up
NYPD,1a, FALSE,Crime related to domestic violence - Murder,71,56,61,53,55,*,*,Down,Down
DCAS,8a, FALSE,Letters responded to in 14 days (%),77%,54%,50%,66%,56%,*,*,Down,Up
DCA,3a, FALSE,Clients served by Office of Financial Empowerment financial counseling programs,"6,727","8,302","10,479","10,290","9,412",*,*,Up,*
HPD,1a, TRUE,– Emergency complaints reported,"364,627","363,501","348,447","337,791","334,242",*,*,Neutral,*
DOHMH,1a, TRUE,New HIV diagnoses (CY Preliminary),"3,303","3,016","2,718","2,493","2,279",↓,↓,Down,Down
LAW,2a, FALSE,Referred cases filed for prosecution (%),56%,58%,54%,54%,50%,55%,55%,Down,*
BIC,1a, FALSE,Violations admitted to or upheld at the Office of Administrative Trials and Hearings (%),92.30%,90.50%,91.50%,98.00%,100.00%,*,*,Up,Up
TLC,1b, TRUE,Boro Taxi safety and emissions failure rate - Initial inspection (%),NA,49.70%,51.10%,49.10%,45.90%,45.00%,45.00%,NA,Down
CCRB,2a, FALSE,Outreach presentations conducted,NA,NA,328,732,694,*,*,NA,Up
NYPL,NA, FALSE,Computer sessions (000),"3,093","3,306","3,287","3,214","3,141","3,180","2,860",Neutral,Up
QPL,NA, TRUE,Average weekly scheduled hours,39.6,39.6,40.2,46.3,44.8,45.6,45.6,Up,Up
LAW,1a, FALSE,– Cases commenced against the City in state court,"7,745","7,258","8,112","8,009","7,132","7,740","7,600",Neutral,*
ACS,1a, TRUE,Number of State Central Register consolidated investigations,"54,039","55,529","54,926","55,337","59,324",*,*,Neutral,*
NYPD,1a, FALSE,– Grand larceny,305,331,325,279,263,*,*,Down,Down
ACS,1e, TRUE,Children discharged to permanency within a year of placement (%),33.20%,32.60%,30.90%,32.00%,34.20%,35.00%,35.00%,Neutral,Up
DSNY,3a, FALSE,Recycled tons per day,"2,058","2,088","2,197","2,373","2,565","2,270","2,270",Up,Up
NYCEM,1a, FALSE,– Incidents monitored from Watch Command,"2,769","2,892","3,153","3,248","3,099",*,*,Up,*
OATH,1a, FALSE,Cases processed per ALJ (total),183,187,188,188.6,189.6,*,*,Neutral,Up
DOE,1a, FALSE,– Math (%),87.20%,77.60%,78.50%,79.10%,NA,80.00%,80.00%,NA,Up
DSNY,1a, FALSE,Violations issued for dirty sidewalks,"28,690","39,975","49,828","64,693","65,272",*,*,Up,*
BIC,3a, FALSE,Average wait time to speak with a customer service agent (minutes),3:02,2:07,3:42,3:02,0.1513888889,*,*,Up,Down
BOE,NA, FALSE,Voter Registration forms processed,"345,834","254,404","145,809","166,961","503,609",*,*,Up,*
DCA,1c, FALSE,Total settlements ($000),"$9,270","$9,395","$7,542","$8,324","$6,530",*,*,Down,*
DOT,1b, FALSE,Lane miles resurfaced citywide (in-house),810.6,"1,005.90","1,019.70","1,239.40","1,321.20",*,*,Up,Up
ACS,2a, TRUE,Average informal (home-based) child care voucher enrollment,"22,700","19,633","17,572","15,976","14,318",*,*,Down,*
FDNY,3a, FALSE,EMS workplace injuries reported,"1,313","1,663","1,651","1,601","1,532",*,*,Up,Down
SBS,4a, TRUE,Minority and Women-owned Business Enterprises awarded City contracts,651,684,902,"1,011","1,131",920,"1,165",Up,Up
NYPL,NA, TRUE,Library card holders (000),"2,210","2,302","2,230","2,060","2,031","2,100","2,020",Down,Up
SBS,5a, FALSE,Completed customer requests for interpretation,NA,NA,"2,351","7,327","6,652",*,*,NA,*
DEP,2a, TRUE,Broken and inoperative hydrants (%),0.31%,0.44%,0.50%,0.52%,0.56%,1.00%,1.00%,Up,Down
DOF,1b, TRUE,Average time to issue a property tax refund (days),27,37,24,24,24,28,28,Down,Down
DOHMH,3a, TRUE,Childhood blood lead levels - new cases among children aged 6 months to less than six years with blood lead levels greater than or equal to 10 micrograms per deciliter,844,772,818,784,708,↓,↓,Down,Down
HPD,1b, FALSE,Violations closed,"433,960","416,454","458,863","489,900","485,251",*,*,Up,Up
BOE,NA, FALSE,Interpreters deployed on election day - Brooklyn,511,530,539,500,670,*,*,Up,*
DOE,5a, FALSE,– Middle school ($),"$19,256","$20,107","$21,022","$22,718",NA,*,*,NA,*
DCA,1a, FALSE,– Within 0-50 days (%),NA,NA,83%,85%,88%,85%,85%,NA,Up
DOC,2a, FALSE,I-CAN Workshops,333,"1,580","2,065","6,505","12,002",*,*,Up,*
DOHMH,7a, FALSE,Completed requests for interpretation,"10,664","11,102","12,475","14,986","18,486",*,*,Up,*
LPC,1d, FALSE,Archaeology applications received,242,284,308,297,318,*,*,Up,*
SCA,1b, FALSE,– High school ($),$533,NA,$498,NA,$817,*,*,NA,Down
DoITT,6b, FALSE,Percent meeting time to close – cable complaint - miscellaneous (30 days),99,100,100,100,99,*,*,Neutral,*
BOE,NA, FALSE,Election results reporting timeliness (hours),NA,NA,NA,NA,NA,*,*,NA,Down
DCAS,6a, FALSE,Electric vehicles in the citywide fleet,NA,723,802,945,"1,295",750,"1,750",NA,Up
DSNY,5a, FALSE,Payout ($000),"$26,944","$32,265","$25,500","$42,999","$50,040",*,*,Up,Down
DOF,2b, TRUE,Average turnaround time to issue decision for parking ticket hearing-by-mail (days),4.2,10.3,8.3,7,6.9,14,14,Up,Down
DOC,1a, FALSE,Inmates in Security Risk Group (% ADP),9.90%,8.20%,11.80%,13.30%,14.70%,*,*,Up,Down
OATH,2a, FALSE,OATH One-Click Hearings (% of total remote hearings),36.30%,50.40%,55.00%,58.90%,52.20%,*,*,Up,*
DDC,2a, FALSE,Letters responded to in 14 days (%),91%,96%,94%,88%,86%,90%,90%,Neutral,Up
DCAS,7a, FALSE,Workplace injuries reported,64,58,65,52,68,*,*,Neutral,Down
DOE,3a, FALSE,Percent of high school cohort taking the SAT at least once in 4 years of high school,53.60%,58.10%,59.40%,59.70%,NA,60.70%,70.00%,NA,Up
BIC,3a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DCAS,5b, FALSE,Annual energy retrofit/conservation projects completed,29,37,109,158,478,*,*,Up,*
HPD,2a, TRUE,Total housing starts under Housing New York (HNY) (units),NA,"9,347","20,401","23,610","24,293","20,000","21,500",NA,*
OCME,4a, TRUE,"Median time to complete DNA sexual assault cases, from evidence submission to report (days)",89,59,50,36,36,30,30,Down,Down
DOI,2a, TRUE,Background investigations closed within 12 months (from date of receipt) (%),64%,61%,65%,60%,40%,60%,60%,Down,Up
DPR,1a, TRUE,Drinking fountains in service (in season only) (%),95%,95%,94%,96%,96%,95%,95%,Neutral,Up
DOT,3a, FALSE,Bicycle lane miles installed,51.9,65.9,51.2,53.9,82.9,50,50,Up,Up
TLC,2a, FALSE,Medallion vehicles,"13,237","13,587","13,587","13,587","13,587",*,*,Neutral,*
OATH,2a, FALSE,Total hearings at the OATH Hearings Division,"322,916","283,480","281,704","271,920","298,571",*,*,Neutral,*
LAW,4a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DEP,5a, FALSE,Air complaints responded to within seven days (%),93%,98%,95%,95%,96%,85%,85%,Neutral,Up
HPD,3a, FALSE,– Medium/high risk rental buildings in portfolio (%),NA,NA,NA,NA,32.00%,*,*,NA,Down
DOE,1a, FALSE,– United States history and government (%),87.80%,70.80%,72.40%,71.40%,NA,75.00%,75.00%,NA,Up
DHS,3b, TRUE,– unsubsidized exits (%),10.20%,13.40%,19.90%,19.90%,20.90%,↓,↓,Up,Down
DFTA,3a, FALSE,Letters responded to in 14 days (%),52.80%,59.40%,77.20%,86.50%,80.20%,*,*,Up,Up
DOE,1a, TRUE,– Grade 8,27.6,27.8,27.3,27.4,27.4,26.9,26.4,Neutral,Down
QPL,NA, FALSE,Electronic visits to website (000),"6,667","6,926","7,854","7,725","7,297","8,000","8,500",Up,Up
DOB,2b, FALSE,Construction inspections resulting in violations (%),21.30%,19.10%,18.60%,24.90%,24.60%,*,*,Up,*
TLC,1a, FALSE,Accessible dispatch median wait time in Manhattan (hours:minutes),NA,0:15,0:13,0:13,0:10,*,*,NA,Down
SBS,1a, FALSE,Number of unique businesses served by NYC Business Acceleration,"4,989","6,377","5,899","5,122","4,559",*,*,Down,Up
DOF,6a, FALSE,"– Audit and enforcement revenue collected ($000,000)","$1,009",$911,"$1,132","$1,161","$1,252",*,*,Up,*
DSNY,3a, TRUE,Recycling tons per truck-shift,5.1,5.1,5.2,5.6,5.6,6.2,6.2,Up,Up
BOE,NA, FALSE,Voter complaints regarding poll workers - procedure,288,169,233,61,327,*,*,Neutral,Down
QPL,NA, TRUE,Program attendance,"664,851","806,128","884,622","1,110,842","1,401,497","1,000,000","1,470,000",Up,Up
DOT,7b, FALSE,Percent meeting time to first action - Street Condition - Failed Street Repair (10 days),90%,92%,92%,92%,89%,85%,85%,Neutral,*
DOF,2b, TRUE,Parking ticket hearings - Total,"901,026","1,104,940","1,041,841","978,447","978,574",*,*,Neutral,*
DOF,4a, FALSE,Cases opened,NA,NA,NA,194,308,*,*,NA,*
SBS,1a, TRUE,Financing awards to businesses facilitated by NYC Business Solutions,"1,200",518,805,567,658,540,540,Down,Up
HRA,1c, TRUE,Medicaid enrollees administered by HRA (000),"3,085.60","2,808.00","2,371.70","2,085.70","1,869.50",*,*,Down,*
DORIS,1a, FALSE,Number of library items available,"352,000","358,825","363,997","371,208","375,919",*,*,Neutral,Up
NYCHH,1c, TRUE,General care average length of stay (days),5,5,5.1,5.2,5.4,4.9,4.9,Neutral,Down
NYPD,2a, FALSE,– Summonses for prohibited use of cellular phones,"148,276","142,112","125,787","125,241","130,934",*,*,Down,*
DHS,3a, FALSE,– subsidized,NA,NA,224,310,290,*,*,NA,Up
DHS,3b, TRUE,– subsidized exits (%),1.70%,0.00%,1.00%,1.60%,0.60%,↓,↓,Down,Down
DOC,1a, TRUE,Escapes,1,0,0,0,0,↓,↓,Down,Down
DOT,7a, FALSE,Letters responded to in 14 days (%),84%,90%,95%,98%,97%,90%,95%,Up,Up
DCP,3a, TRUE,– Certified/referred within 6 months (%),NA,87%,70%,96%,93%,70%,70%,NA,Up
DCAS,1c, TRUE,Median time from exam administration to exam results completion (days),201,265,195,333,282,↓,290,Up,Down
HPD,3a, FALSE,– Medium/high risk co-op buildings in portfolio (%),NA,NA,NA,NA,54.00%,*,*,NA,Down
DCAS,7a, FALSE,– Collisions involving City vehicles in the DCAS-managed fleet,NA,402,449,400,421,*,*,NA,Down
DFTA,3a, FALSE,CORE facility rating,95,100,100,96,92,*,*,Neutral,Up
DHS,2a, TRUE,Average number of single adults in shelters per day,"9,536","10,116","11,330","12,727","13,626",↓,↓,Up,Down
DYCD,1a, FALSE,Comprehensive After School System of NYC (COMPASS NYC) enrollment,"65,957","71,585","112,600","122,792","124,258","110,000","110,000",Up,*
NYPD,5a, FALSE,Workplace injuries reported (uniform and civilian),"8,420","8,512","7,564","7,249","6,626",*,*,Down,Down
DOE,1a, FALSE,– Global history (%),83.80%,69.20%,69.40%,67.90%,NA,75.00%,75.00%,NA,Up
NYCHA,2b, FALSE,Working families residing in public housing (cumulative) (%),47.80%,47.60%,47.50%,46.70%,46.70%,*,*,Neutral,Up
NYPD,6b, FALSE,Percent meeting time to close – Commercial Noise (0.3 days),94,97,96,93,92,*,*,Neutral,*
DOE,6a, FALSE,Parents completing the NYC School Survey,"486,536","485,696","459,929","497,331","506,778",*,*,Neutral,*
DFTA,2b, TRUE,Total recipients of home care services,"2,835","3,250","2,928","3,831","3,087","2,900","2,900",Up,Up
FDNY,3a, FALSE,Violations admitted to or upheld at the Environmental Control Board (%),91%,91%,93%,93%,92%,*,*,Neutral,*
EDC,2a, FALSE,Outstanding violations closed during the period,19,23,22,31,30,*,*,Up,Up
HRA,1a, FALSE,Cash assistance cases in sanction status (%),NA,5.20%,3.50%,1.20%,0.20%,*,*,NA,*
DPR,1a, TRUE,Recreation centers rated acceptable for overall condition (%),85%,86%,83%,89%,83%,85%,85%,Neutral,Up
DSNY,5a, FALSE,Private transfer station inspections performed,"5,047","6,022","5,998","4,570","5,758",*,*,Neutral,*
DCAS,2c, FALSE,Lease-in agreements executed,32,56,53,66,39,*,*,Up,*
ACS,3a, TRUE,"Child abuse and/or neglect allegation rate (internal) (average per 100 total ADP), detention",0.11,0.1,0.15,0.11,0.14,0.09,0.1,Up,Down
NYCHH,1c, FALSE,Inpatient satisfaction rate (%),58.00%,60.00%,63.00%,62.00%,61.00%,65.00%,65.00%,Neutral,Up
NYCEM,2a, TRUE,Total participants at emergency preparedness education sessions,"35,921","34,599","74,571","103,648","92,863","75,000","75,000",Up,Up
DCP,4a, FALSE,Letters responded to in 14 days (%),44%,44%,64%,72%,71%,50%,50%,Up,Up
NYPL,NA, FALSE,Computers for public use,"4,026","4,180","4,530","4,647","4,660","4,660","4,660",Up,Up
LPC,1c, FALSE,Number of complaints received,815,875,772,792,677,*,*,Down,Down
DOE,5a, TRUE,– Other criminal categories,"2,626","2,485","2,286","2,219","2,007",↓,↓,Down,Down
DCAS,6a, FALSE,– Electric vehicles in the DCAS-managed fleet,NA,51,64,72,140,75,160,NA,Up
DOHMH,2b, TRUE,"Asthma-related emergency department visits among children ages 5-17 (per 10,000 children) (CY) (preliminary)",231.9,232.1,231.6,NA,NA,↓,↓,NA,Down
ACS,3a, FALSE,"Youth on staff assault with injury rate, Close to home placement",NA,0.05,0.05,0.07,0.13,0.05,0.05,NA,Down
NYPD,4a, FALSE,– Below standard,37,42,66,101,166,*,*,Up,Down
DoITT,4a, FALSE,LinkNYC kiosks in violation (%),NA,NA,NA,0%,0%,5%,5%,NA,Down
DFTA,2b, FALSE,Total recipients of case management services,"17,499","28,233","28,898","32,737","33,041",*,*,Up,*
DOT,3a, FALSE,Bicycle racks installed,"3,541","3,656","2,408","1,300","2,018","1,500","1,500",Down,Up
DOT,2a, TRUE,Citywide traffic fatalities,261,285,249,236,211,↓,↓,Down,Down
BPL,NA, TRUE,Libraries open six days per week (%),47%,38%,65%,100%,100%,100%,100%,Up,Up
DOB,2a, FALSE,Priority A (emergency) complaints received,"14,511","14,654","15,827","17,629","16,591",*,*,Up,*
DoITT,1d, FALSE,Average time to resolve telecommunications incidents (days),10.2,4.6,4.6,8,6.4,*,*,Down,Down
DSNY,5a, FALSE,Collisions involving City vehicles,"2,093","2,457","2,616","2,625","2,463",*,*,Up,Down
NYPL,NA, FALSE,Electronic visits to website (000),"32,844","32,722","30,852","29,849","28,015",*,"26,900",Down,Up
DCA,2a, FALSE,License applications received online (%),27%,19%,20%,18%,23%,*,*,Down,Up
TLC,3b, FALSE,Percent meeting time to first action - Taxi Complaint (14 days),82%,94%,61%,86%,94%,90%,90%,Neutral,*
DCAS,5b, FALSE,Cumulative energy retrofit/conservation projects completed,77,114,223,381,859,*,*,Up,Up
DCLA,2a, FALSE,Total visitors to the Cultural Institutions Group (000),"20,264","20,957","21,609","23,236","22,785",*,*,Up,Up
FDNY,1b, FALSE,Average response time to all emergencies by fire companies (FDNY dispatch and travel time only) (minutes:seconds),4:46,4:46,4:50,4:52,4:56,*,*,Neutral,Down
DCAS,7a, FALSE,Accidents involving the public in DCAS-managed properties,17,18,18,21,25,*,*,Up,Down
DOP,3a, FALSE,Letters responded to in 14 days (%),97%,77%,100%,100%,100%,*,*,Up,Up
FDNY,2b, FALSE,Average cost of ambulance tour per day ($),"$1,809","$1,876","$1,901","$1,937","$1,997",*,*,Neutral,*
DDC,1a, TRUE,– Completed early/on time: Infrastructure (%),83%,85%,84%,87%,100%,88%,88%,Up,Up
DEP,2a, FALSE,Average time to restore water to customers after confirming breaks (hours),4.4,4.4,5.1,4.2,4.4,6,6,Neutral,Down
HRA,2a, FALSE,"HRA clients who obtained employment, and maintained employment or did not return to CA for 12 months (city fiscal year-to-date average) (%)",NA,NA,64.20%,63.50%,63.40%,*,*,NA,Up
ACS,2a, TRUE,Average center-based child care voucher enrollment,"27,552","26,401","27,052","27,132","27,864",*,*,Neutral,*
EDC,3b, FALSE,Build NYC Resource Corporation - Contracts closed,24,21,23,28,15,*,*,Down,Up
DYCD,5a, FALSE,Letters responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DDC,1a, TRUE,– Completed early/on time: Infrastructure (%),81%,87%,88%,87%,90%,82%,82%,Neutral,Up
DEP,2a, FALSE,Leak complaints received,"4,077","3,601","3,622","3,642","3,679",*,*,Neutral,*
LPC,1b, TRUE,Work permit applications received,"11,886","13,235","13,273","13,963","13,874",*,*,Up,*
DOT,1c, FALSE,Average time to repair street lights - by DOT (calendar days),2.7,2.5,2.3,2.9,3,*,*,Up,Down
ACS,3a, FALSE,Number of releases from Close to Home placement to aftercare,NA,274,283,201,194,*,*,NA,Down
HRA,2c, FALSE,"Child support collected ($000,000)",$735.60,$741.70,$748.30,$762.10,$780.90,$769.70,$788.70,Neutral,Up
DOHMH,7a, FALSE,CORE facility rating,90,92,92,81,96,85,85,Neutral,Up
DOF,5a, FALSE,Average time to record and index property documents (days) - Citywide,3.1,2.4,3.8,3.4,1.1,*,*,Down,Down
DHS,6a, FALSE,Letters responded to in 14 days (%),67.40%,83.50%,70.40%,64.80%,NA,*,*,NA,Up
DOP,3a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DOT,4a, FALSE,Existing newsstands converted to new model (%),91.10%,93.70%,94.00%,95.90%,97.40%,*,*,Neutral,Up
DYCD,2a, FALSE,Participants in WIA-funded Out-of-School Youth program,"1,863","1,721","1,800","2,265","2,132",*,*,Up,*
NYCHA,2b, FALSE,Applicants placed in public housing,"4,233","5,988","4,939","4,211","3,834",*,*,Down,Up
DOF,2b, FALSE,Parking ticket appeals reviewed,"36,094","41,405","55,036","58,939","30,375",*,*,Neutral,*
BPL,NA, FALSE,Computer sessions (000),"2,270","2,152","2,188","2,164","1,920","2,188","1,900",Down,Up
BOE,NA, FALSE,Interpreters deployed on election day - Staten Island,40,42,46,38,44,*,*,Neutral,*
DSNY,2a, FALSE,Average outage rate for all collection trucks (%),19%,21%,20%,19%,19%,*,*,Neutral,Down
ACS,1a, FALSE,Substantiation rate,39.80%,39.50%,38.70%,36.10%,40.40%,*,*,Neutral,*
DORIS,1a, FALSE,Records preserved and digitized,"121,955","101,033","10,651,475","7,422,426","26,778","260,000","260,000",Up,Up
DPR,1a, TRUE,Comfort stations in service (in season only) (%),94%,95%,97%,95%,94%,95%,95%,Neutral,Up
LPC,1b, FALSE,Certificates of No Effect issued within 10 business days (%),87%,94%,91%,96%,93%,85%,85%,Neutral,Up
ACS,1a, TRUE,Children in substantiated investigations with repeat substantiated investigations within a year (%)(preliminary),16.90%,17.40%,17.20%,16.80%,18.10%,↓,15.00%,Neutral,Down
TLC,3a, FALSE,Average call wait time (minutes:seconds),NA,NA,NA,NA,18:55,*,*,NA,Down
DOB,2b, TRUE,Construction inspections completed,"131,444","142,222","139,323","148,162","156,508","140,000","140,000",Up,Up
CUNY,NA, FALSE,Annual tuition at CUNY community colleges (full-time NYS resident),"$4,200","$4,500","$4,800","$4,800","$4,800",*,*,Up,*
QPL,NA, FALSE,Wireless sessions,"112,621","346,782","453,555","477,230",NA,"500,000","525,000",NA,Up
CUNY,NA, FALSE,Number of full-time faculty employed by CUNY community colleges,"1,891","2,011","2,092","2,165","2,182",*,*,Up,Up
311,1a, FALSE,Calls resolved at 311 without transfer to agency for resolution (%),91%,93%,94%,93%,94%,*,*,Neutral,Up
DEP,2a, FALSE,Catch basin complaints received,"10,548","8,576","8,851","8,020","8,968",*,*,Down,Down
HRA,4a, TRUE,APS cases eligible for services,"6,098","5,406","6,107","6,847","7,346",*,*,Up,*
DOT,2a, TRUE,Overall traffic crashes,"200,188","205,066","209,729","225,318","228,283",↓,↓,Up,Down
DOC,1b, FALSE,Incidents and allegations of use of force,"3,413","4,221","4,822","5,269","5,070",*,*,Up,Down
DOB,2c, TRUE,Construction-related injuries,187,212,324,526,622,↓,↓,Up,Down
DOHMH,2a, FALSE,Adults who are obese (%) (CY),24.20%,23.40%,24.70%,24.10%,23.60%,23.90%,23.50%,Neutral,Down
DOC,1a, TRUE,"Inmate assault on staff (monthly rate per 1,000 ADP)",4.7,5.9,8.6,7.9,8.4,↓,↓,Up,Down
OCME,4a, TRUE,Median time to complete toxicology cases (days),55,29,31,56,22,45,45,Down,Down
DOE,2b, TRUE,Students with disabilities in cohort dropping out from high school in 4 years (%) (NYSED),17.60%,15.80%,15.40%,14.50%,NA,14.40%,13.50%,NA,Down
HRA,4a, TRUE,Average days to initiate home attendant and housekeeper services for all cases,27.5,14.1,24.6,20.4,20,30,30,Down,Down
DOB,1b, FALSE,Average days to complete first plan review (Hub projects) - Minor renovation (Alterations II and III),1.4,1.1,2.6,2.7,0.1,*,*,Down,Down
DSNY,1a, FALSE,Streets rated filthy (%),0.20%,0.40%,0.40%,0.20%,0.10%,*,*,Down,*
DOE,2b, FALSE,Students no longer in need of special education services,"7,119","5,464","5,726","5,864","7,276",*,*,Neutral,*
NYPD,1a, TRUE,– Murder and non-negligent manslaughter,369,320,348,341,300,↓,↓,Down,Down
DCA,4a, FALSE,Total amount of employee restitution ($),NA,NA,"$54,961","$2,123,391","$1,584,137",*,*,NA,*
DOC,1d, FALSE,Jail-cells unavailable (short-term repair) (%),3.10%,2.80%,2.30%,2.30%,2.60%,1.00%,1.00%,Down,Down
DHS,3b, TRUE,– unsubsidized exits (%),25.80%,25.30%,26.00%,24.50%,24.90%,↓,↓,Neutral,Down
DoITT,1a, TRUE,"Average uptime of key systems (mainframe, UNIX, Wintel) (%)",99.83%,99.72%,99.36%,99.59%,99.66%,99.99%,99.99%,Neutral,Up
DOHMH,7a, FALSE,Calls answered in 30 seconds (%),69%,85%,82%,78%,73%,85%,80%,Neutral,Up
DCAS,7a, FALSE,– Preventable collisions involving City vehicles in the DCAS-managed fleet,NA,173,211,145,161,*,*,NA,Down
NYPD,1a, FALSE,– Rape,464,471,481,526,504,*,*,Up,Down
DCA,4a, FALSE,Total amount of PSL fines ($),NA,NA,"$50,050","$1,201,468","$502,168",*,*,NA,*
DOHMH,3a, TRUE,Child care inspections that do not require a compliance inspection (%),62.90%,66.90%,65.90%,62.00%,57.40%,↑,↑,Neutral,Up
DOE,1a, TRUE,– Math (%),29.60%,34.20%,35.20%,36.40%,37.80%,37.40%,39.80%,Up,Up
DOE,3a, FALSE,Percent of high school cohort who graduate ready for college and careers,31.40%,32.60%,34.60%,37.20%,NA,38.80%,40.40%,NA,Up
DOB,2c, FALSE,Construction-related incidents,403,459,736,979,"1,170",*,*,Up,Down
DOHMH,4b, FALSE,Calls to NYC Well (000),92,105.1,92,97.5,170.4,*,*,Up,*
DoITT,1a, FALSE,Uptime of Citywide Radio Network (%),99.99%,100.00%,100.00%,100.00%,100.00%,99.99%,99.99%,Neutral,Up
NYPD,1a, FALSE,School safety - Other criminal categories,"2,626","2,485","2,286","2,219","2,007",*,*,Down,Down
HPD,2a, FALSE,HNY units started for homeless individuals and families,NA,480,"1,575","1,907","2,571","1,320","1,111",NA,*
SBS,1b, FALSE,Value of Energy Cost Savings Program savings for businesses ($000),$760,$176,$841,$878,"$2,003",*,*,Up,*
HRA,5a, FALSE,IDNYC application timeliness (%),NA,NA,95%,99%,99%,*,*,NA,Up
EDC,2a, FALSE,Outstanding violations at beginning of the period,55,35,25,64,51,*,*,Up,Down
DDC,1a, FALSE,Sewers constructed (miles),9.9,12.8,9.8,11.4,10.6,8.2,4,Neutral,*
DSNY,1a, TRUE,Streets rated acceptably clean (%),94.50%,93.30%,92.70%,95.00%,95.90%,92.00%,92.00%,Neutral,Up
311,1a, TRUE,Average wait time (tier 1 calls) (minutes:seconds),0:38,0:23,0:23,0:16,0:18,0:30,0:30,Down,Down
DFTA,2a, TRUE,Persons who received information and/or supportive services through DFTA's in-house and contracted Caregiver programs,NA,"9,296","11,033","11,342","10,201",*,*,NA,*
DOF,2a, TRUE,Parking tickets issued that are paid within 90 days (%),63.50%,63.20%,65.80%,66.80%,66.30%,65.00%,65.00%,Neutral,Up
CUNY,NA, FALSE,Percentage of community college students receiving Tuition Assistance Program (TAP) grants (%),29.80%,34.00%,34.10%,36.40%,35.90%,*,*,Up,*
OATH,1a, FALSE,Cases filed at the OATH Trials Division (total),"2,358","2,665","2,754","2,553","2,661",*,*,Neutral,*
DEP,5a, FALSE,Noise complaints not requiring access to premises responded to within seven days (%),91%,99%,97%,97%,98%,85%,85%,Neutral,Up
DDC,1a, TRUE,Average cost change for all completed construction projects (excluding programmatic scope changes) (%),1.80%,2.10%,2.00%,8.80%,0.30%,3.00%,3.00%,Up,Down
DOE,2b, FALSE,– Non-public school,"22,942","38,818","39,360","44,916","48,361",*,*,Up,*
DOT,7b, FALSE,Percent meeting time to close - Street Condition - Pothole (30 days),100%,97%,98%,100%,100%,98%,98%,Neutral,*
HPD,1a, FALSE,Inspection visits per team per day,12.2,12.3,12.2,12.6,12.3,*,*,Neutral,Up
DOB,2a, FALSE,Priority A complaints responded to,"14,542","14,468","15,420","16,927","15,981",*,*,Up,*
NYCEM,2c, TRUE,Average time from incident to issuing of Notify NYC message (minutes:seconds),NA,7:58,8:00,6:00,6:44,7:00,7:00,NA,Down
DOC,1a, TRUE,"Serious injury to inmate(s) as a result of violent inmate-on-inmate incidents (monthly rate per 1,000 ADP)",1.4,1.8,2.5,2.5,2.7,↓,↓,Up,Down
EDC,3b, TRUE,– Projected three-year job growth associated with closed contracts,"5,348","12,238","10,822","3,639",252,"2,500",↑,Down,Up
TLC,1c, FALSE,Patrol summonses issued to owners/agents/bases,NA,"24,694","27,958","22,257","23,829",*,*,NA,*
CUNY,NA, FALSE,Student/faculty ratio - Community Colleges,21:01,21:01,21:01,21:01,19:01,*,*,Neutral,Down
